datetime,y,client,close,price_am,price_pm,is_train,price,y_lag_365,price_am_lag_1,price_am_lag_7,price_am_lag_365,price_pm_lag_1,price_pm_lag_7,price_pm_lag_365,price_am_moving_avg_7,price_am_moving_avg_30,price_pm_moving_avg_7,price_pm_moving_avg_30
2011-01-04,16,0,0,0.0,0.0,1,0.0,,,,,,,,,,,
2011-01-05,16,0,0,0.0,0.0,1,0.0,,0.0,,,0.0,,,,,,
2011-01-06,13,0,0,0.0,0.0,1,0.0,,0.0,,,0.0,,,,,,
2011-01-07,14,0,0,0.0,0.0,1,0.0,,0.0,,,0.0,,,,,,
2011-01-08,16,0,0,0.0,0.0,1,0.0,,0.0,,,0.0,,,,,,
2011-01-09,16,0,0,0.0,0.0,1,0.0,,0.0,,,0.0,,,,,,
2011-01-10,14,0,0,0.0,0.0,1,0.0,,0.0,,,0.0,,,0.0,,0.0,
2011-01-11,13,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-12,5,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-13,9,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-14,14,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-15,19,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-16,22,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-17,12,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-18,11,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-19,6,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-20,7,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-21,14,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,
2011-01-22,17,0,0,1.0,0.0,1,0.5,,0.0,0.0,,0.0,0.0,,0.14285714285714285,,0.0,
2011-01-23,18,0,0,0.0,0.0,1,0.0,,1.0,0.0,,0.0,0.0,,0.14285714285714285,,0.0,
2011-01-24,12,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.14285714285714285,,0.0,
2011-01-25,15,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.14285714285714285,,0.0,
2011-01-26,13,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.14285714285714285,,0.0,
2011-01-27,18,0,0,1.0,1.0,1,1.0,,0.0,0.0,,0.0,0.0,,0.2857142857142857,,0.14285714285714285,
2011-01-28,16,0,0,1.0,1.0,1,1.0,,1.0,0.0,,1.0,0.0,,0.42857142857142855,,0.2857142857142857,
2011-01-29,23,0,0,2.0,1.0,1,1.5,,1.0,1.0,,1.0,0.0,,0.5714285714285714,,0.42857142857142855,
2011-01-30,28,0,0,2.0,1.0,1,1.5,,2.0,0.0,,1.0,0.0,,0.8571428571428571,,0.5714285714285714,
2011-01-31,23,0,0,1.0,0.0,1,0.5,,2.0,0.0,,1.0,0.0,,1.0,,0.5714285714285714,
2011-02-01,22,0,0,1.0,1.0,1,1.0,,1.0,0.0,,0.0,0.0,,1.1428571428571428,,0.7142857142857143,
2011-02-02,14,0,0,1.0,1.0,1,1.0,,1.0,0.0,,1.0,0.0,,1.2857142857142858,0.3333333333333333,0.8571428571428571,0.2
2011-02-03,12,0,0,0.0,0.0,1,0.0,,1.0,1.0,,1.0,1.0,,1.1428571428571428,0.3333333333333333,0.7142857142857143,0.2
2011-02-04,16,0,0,0.0,0.0,1,0.0,,0.0,1.0,,0.0,1.0,,1.0,0.3333333333333333,0.5714285714285714,0.2
2011-02-05,24,0,0,1.0,1.0,1,1.0,,0.0,2.0,,0.0,1.0,,0.8571428571428571,0.36666666666666664,0.5714285714285714,0.23333333333333334
2011-02-06,17,0,0,1.0,1.0,1,1.0,,1.0,2.0,,1.0,1.0,,0.7142857142857143,0.4,0.5714285714285714,0.26666666666666666
2011-02-07,15,0,0,0.0,0.0,1,0.0,,1.0,1.0,,1.0,0.0,,0.5714285714285714,0.4,0.5714285714285714,0.26666666666666666
2011-02-08,7,0,0,0.0,0.0,1,0.0,,0.0,1.0,,0.0,1.0,,0.42857142857142855,0.4,0.42857142857142855,0.26666666666666666
2011-02-09,9,0,0,0.0,0.0,1,0.0,,0.0,1.0,,0.0,1.0,,0.2857142857142857,0.4,0.2857142857142857,0.26666666666666666
2011-02-10,21,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.2857142857142857,0.4,0.2857142857142857,0.26666666666666666
2011-02-11,29,0,0,2.0,1.0,1,1.5,,0.0,0.0,,0.0,0.0,,0.5714285714285714,0.4666666666666667,0.42857142857142855,0.3
2011-02-12,21,0,0,2.0,1.0,1,1.5,,2.0,1.0,,1.0,1.0,,0.7142857142857143,0.5333333333333333,0.42857142857142855,0.3333333333333333
2011-02-13,25,0,0,1.0,1.0,1,1.0,,2.0,1.0,,1.0,1.0,,0.7142857142857143,0.5666666666666667,0.42857142857142855,0.36666666666666664
2011-02-14,8,0,0,0.0,0.0,1,0.0,,1.0,0.0,,1.0,0.0,,0.7142857142857143,0.5666666666666667,0.42857142857142855,0.36666666666666664
2011-02-15,13,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.7142857142857143,0.5666666666666667,0.42857142857142855,0.36666666666666664
2011-02-16,10,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.7142857142857143,0.5666666666666667,0.42857142857142855,0.36666666666666664
2011-02-17,17,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.7142857142857143,0.5666666666666667,0.42857142857142855,0.36666666666666664
2011-02-18,22,0,0,1.0,0.0,1,0.5,,0.0,2.0,,0.0,1.0,,0.5714285714285714,0.6,0.2857142857142857,0.36666666666666664
2011-02-19,25,0,0,2.0,2.0,1,2.0,,1.0,2.0,,0.0,1.0,,0.5714285714285714,0.6666666666666666,0.42857142857142855,0.43333333333333335
2011-02-20,24,0,0,2.0,1.0,1,1.5,,2.0,1.0,,2.0,1.0,,0.7142857142857143,0.7333333333333333,0.42857142857142855,0.4666666666666667
2011-02-21,26,0,0,0.0,0.0,1,0.0,,2.0,0.0,,1.0,0.0,,0.7142857142857143,0.7,0.42857142857142855,0.4666666666666667
2011-02-22,15,0,0,1.0,0.0,1,0.5,,0.0,0.0,,0.0,0.0,,0.8571428571428571,0.7333333333333333,0.42857142857142855,0.4666666666666667
2011-02-23,21,0,0,1.0,0.0,1,0.5,,1.0,0.0,,0.0,0.0,,1.0,0.7666666666666667,0.42857142857142855,0.4666666666666667
2011-02-24,23,0,0,1.0,1.0,1,1.0,,1.0,0.0,,0.0,0.0,,1.1428571428571428,0.8,0.5714285714285714,0.5
2011-02-25,29,0,0,2.0,1.0,1,1.5,,1.0,1.0,,1.0,0.0,,1.2857142857142858,0.8666666666666667,0.7142857142857143,0.5333333333333333
2011-02-26,32,0,0,3.0,2.0,1,2.5,,2.0,2.0,,1.0,2.0,,1.4285714285714286,0.9333333333333333,0.7142857142857143,0.5666666666666667
2011-02-27,33,0,0,2.0,2.0,1,2.0,,3.0,2.0,,2.0,1.0,,1.4285714285714286,0.9666666666666667,0.8571428571428571,0.6
2011-02-28,30,0,0,2.0,1.0,1,1.5,,2.0,0.0,,2.0,0.0,,1.7142857142857142,0.9666666666666667,1.0,0.6
2011-03-01,28,0,0,1.0,1.0,1,1.0,,2.0,1.0,,1.0,0.0,,1.7142857142857142,0.9333333333333333,1.1428571428571428,0.6
2011-03-02,21,0,0,0.0,0.0,1,0.0,,1.0,1.0,,1.0,0.0,,1.5714285714285714,0.9,1.1428571428571428,0.6
2011-03-03,20,0,0,0.0,0.0,1,0.0,,0.0,1.0,,0.0,1.0,,1.4285714285714286,0.8666666666666667,1.0,0.5666666666666667
2011-03-04,12,0,0,1.0,1.0,1,1.0,,0.0,2.0,,0.0,1.0,,1.2857142857142858,0.8666666666666667,1.0,0.5666666666666667
2011-03-05,27,0,0,2.0,1.0,1,1.5,,1.0,3.0,,1.0,2.0,,1.1428571428571428,0.9333333333333333,0.8571428571428571,0.6
2011-03-06,21,0,0,1.0,1.0,1,1.0,,2.0,2.0,,1.0,2.0,,1.0,0.9666666666666667,0.7142857142857143,0.6333333333333333
2011-03-07,22,0,0,0.0,0.0,1,0.0,,1.0,2.0,,1.0,1.0,,0.7142857142857143,0.9333333333333333,0.5714285714285714,0.6
2011-03-08,21,0,0,0.0,0.0,1,0.0,,0.0,1.0,,0.0,1.0,,0.5714285714285714,0.9,0.42857142857142855,0.5666666666666667
2011-03-09,15,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.5714285714285714,0.9,0.42857142857142855,0.5666666666666667
2011-03-10,21,0,0,0.0,0.0,1,0.0,,0.0,0.0,,0.0,0.0,,0.5714285714285714,0.9,0.42857142857142855,0.5666666666666667
2011-03-11,17,0,0,0.0,0.0,1,0.0,,0.0,1.0,,0.0,1.0,,0.42857142857142855,0.9,0.2857142857142857,0.5666666666666667
2011-03-12,25,0,0,2.0,2.0,1,2.0,,0.0,2.0,,0.0,1.0,,0.42857142857142855,0.9666666666666667,0.42857142857142855,0.6333333333333333
2011-03-13,17,0,0,2.0,1.0,1,1.5,,2.0,1.0,,2.0,1.0,,0.5714285714285714,0.9666666666666667,0.42857142857142855,0.6333333333333333
2011-03-14,27,0,0,1.0,1.0,1,1.0,,2.0,0.0,,1.0,0.0,,0.7142857142857143,0.9333333333333333,0.5714285714285714,0.6333333333333333
2011-03-15,31,0,0,1.0,1.0,1,1.0,,1.0,0.0,,1.0,0.0,,0.8571428571428571,0.9333333333333333,0.7142857142857143,0.6333333333333333
2011-03-16,34,0,0,2.0,2.0,1,2.0,,1.0,0.0,,1.0,0.0,,1.1428571428571428,1.0,1.0,0.7
2011-03-17,34,0,0,2.0,2.0,1,2.0,,2.0,0.0,,2.0,0.0,,1.4285714285714286,1.0666666666666667,1.2857142857142858,0.7666666666666667
2011-03-18,42,0,0,2.0,2.0,1,2.0,,2.0,0.0,,2.0,0.0,,1.7142857142857142,1.1333333333333333,1.5714285714285714,0.8333333333333334
2011-03-19,40,0,0,3.0,3.0,1,3.0,,2.0,2.0,,2.0,2.0,,1.8571428571428572,1.2333333333333334,1.7142857142857142,0.9333333333333333
2011-03-20,41,0,0,5.0,3.0,1,4.0,,3.0,2.0,,3.0,1.0,,2.2857142857142856,1.3666666666666667,2.0,1.0333333333333334
2011-03-21,39,0,0,3.0,2.0,1,2.5,,5.0,1.0,,3.0,1.0,,2.5714285714285716,1.4,2.142857142857143,1.0333333333333334
2011-03-22,39,0,0,3.0,3.0,1,3.0,,3.0,1.0,,2.0,1.0,,2.857142857142857,1.4333333333333333,2.4285714285714284,1.1
2011-03-23,37,0,0,5.0,4.0,1,4.5,,3.0,2.0,,3.0,2.0,,3.2857142857142856,1.6,2.7142857142857144,1.2333333333333334
2011-03-24,36,0,0,5.0,3.0,1,4.0,,5.0,2.0,,4.0,2.0,,3.7142857142857144,1.7333333333333334,2.857142857142857,1.3333333333333333
2011-03-25,35,0,0,4.0,5.0,1,4.5,,5.0,2.0,,3.0,2.0,,4.0,1.8333333333333333,3.2857142857142856,1.5
2011-03-26,40,0,0,5.0,5.0,1,5.0,,4.0,3.0,,5.0,3.0,,4.285714285714286,1.9666666666666666,3.5714285714285716,1.6333333333333333
2011-03-27,35,0,0,5.0,4.0,1,4.5,,5.0,5.0,,5.0,3.0,,4.285714285714286,2.066666666666667,3.7142857142857144,1.7333333333333334
2011-03-28,49,0,0,3.0,2.0,1,2.5,,5.0,3.0,,4.0,2.0,,4.285714285714286,2.066666666666667,3.7142857142857144,1.7333333333333334
2011-03-29,37,0,0,3.0,2.0,1,2.5,,3.0,3.0,,2.0,3.0,,4.285714285714286,2.1,3.5714285714285716,1.7333333333333334
2011-03-30,38,0,0,4.0,3.0,1,3.5,,3.0,5.0,,2.0,4.0,,4.142857142857143,2.1666666666666665,3.4285714285714284,1.8
2011-03-31,34,0,0,4.0,4.0,1,4.0,,4.0,5.0,,3.0,3.0,,4.0,2.2666666666666666,3.5714285714285716,1.9
